id	generation	major_rev	owned_by_id	name	item_number	classification	description
00580D67C81147258BD3B89EE1318E58	5	B	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Filament Drive Block Front	MP1794	Component	
01B2F67D451D491D84FD5209F44A8F35	7	E	DBA5D86402BF43D5976854B8B48FCDD1	Botstep 17	MP2343	Assembly	
02963C4DABE44E12A243C5CB3FA322DF	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Extended Rod Guide Ring	MP2407	Component	
029A82307CA5499B8E7BFAA0B1E16982	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Right Panel	MP2199	Component	
03DCBD82677B410491495758318D96DB	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 1M	MP3428	Component	Thick film rectangular MCR03 (1608 size)
03E6B50FF17441168C73A1FF5ABCF891	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x30 Flat Head Socket Bolt	MP1913-003	Component	
048B35C3F4354EF48034AB11BA603308	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Front Window Panel	MP2955	Component	
052B70BA995D47CF834EF103CCE0D85E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Wiring	MP2967	Assembly	
05C374CDA229443D8AE292B96431DEBC	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Connector 1x4	MP3311	Component	Vertical header with latch and no peg 2.54/.100 centers
07E827B747AE43648AF8C47EAAA9DC16	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Controller Stepper Motor	MP3494	Component	Controller Stepper Motor
09D0A3F880C34176992D9DDAE11C56F4	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Shaft 8mm x 424mm composite material	MP2799	Component	
09D925EEE1614683BEDF9F2FEF996B23	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Shaft 8mm x 300mm	MP2381	Component	
0AA2116918164EC1BE1467AF26900901	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Mount Assembly	P23124		
0AA62AED57B44C638A83F30D6F4AD77F	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Cover Option for MakerBot Replicator	MP0102	Assembly	The MakerBot Replicator by MakerBot. Published on March 12, 2012. www.thingiverse.com/thing:18813
0C49B8A7882F4590BBDABCBD92B92381	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3X12 Socket Cap Bolt	MP0370-010	Component	
0DA543DA8B5947DE99F54B39E6AC2357	1	B	DBA5D86402BF43D5976854B8B48FCDD1	1-2 inch Wire Wrap	MP2467	Component	
0E41EABB155B4380A95A661780B839D8	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor .27K	MP3544	Component	Resistor SMT 270ohm 1% 1W
0EDAA4188E4C4BA981FD4518B5C5DDAD	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Storage Assembly	MP2960	Assembly	
10A19507C6B14AE7A74812358C7B6130	1	D	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Plunger	MP1707	Component	
11BB52561B524B27A3970BC7188C6854	1	D	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Bottom Wooden Build Platform	MP2337	Component	
1213E2030EBD4FE58316993FD42D74A7	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Radial Ball Bearings	MP2453	Component	
125E900B5D6149DA9BA02BA7783C68BD	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Capacitor 100nF	MP3701	Component	CAP805 Multi-layer ceramic chip capacitor
1398E942DAB948BAA7E0FAEAE04BA921	1	B	DBA5D86402BF43D5976854B8B48FCDD1	M3x3mm Set Screw	MP1709	Component	
14F871DA13A340F2866D2AD639D5B79A	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Makerbot MightyBoard Software	MP2988	Software	
9EF0132A1A5E4295B578CA22C1F74EE8	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Makerbot MightyBoard Software v2	MP2989	Software	
1527A8A174214EF9984E886630C89CDA	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Capacitor 47uF	MP3392	Component	Chip tantalum capacitors (Bottom surface electrode type : Large capacitance) TCT Series PL Case
155C8C64CADE4900B47488484A45B032	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 12K	MP3887	Component	Resistor 12K 1% 1/16W
18600EFF66564595B3545D5638E6E446	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Dowel Pin 5 32 inch OD, 1 inch length	MP2340	Component	
1906C46491C0445889D8A828248EF1F8	2	B	DBA5D86402BF43D5976854B8B48FCDD1	Shaft 8mm x 424mm	MP2753	Component	
197ED5180918430CB338B48C97A118CB	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3X20 Socket Cap Bolt	MP0370-005	Component	
1995FDAE00EE4D88AC762AA1BF404075	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Terminal block x4	MP3868	Component	Base strip - MSTBV 2,5/ 4-GF-5,08 BEIGE - 1911350
1A8DD513009C47789DCB8BDF9937DA4A	1	D	DBA5D86402BF43D5976854B8B48FCDD1	Mechanical Endstop	MP0979	Component	
1AD8E9CD891D417685168555202E051B	2	C	DBA5D86402BF43D5976854B8B48FCDD1	Cover Top	MP2950	Component	
1BE702134FE64333B4DD1F33DF464BB2	1	A	DBA5D86402BF43D5976854B8B48FCDD1	PTFE Tubing 14in OD 18in ID	MP2584	Component	
1C8EEDC07A6345EC8B07F9031AEDDA46	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Foot Edge Neoprene	MP2583	Component	
1D60FBC213AC49769AA953FA28EAFD43	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Silicone Keypad	MP2256	Component	
1E15DD3CFE944908830A07E6174648F2	3	A	DBA5D86402BF43D5976854B8B48FCDD1	O ring .14in ID .246in OD	MP1915	Component	
1E46FC1E194E4124873FF9B30101D762	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x20 Flat Head Socket Bolt	MP1913-005	Component	
1F343F6E90B342109E01B3DBD26A1A98	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Piezo Buzzer	MP3529	Component	MICRO BUZZER 5V DC / 20mA PCB TYPE - SEALED
20D920CAC7854A5EB3BC6FA8B5B5B4EE	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Nylon 440 screw	MP2827	Component	
244A8D77406E413A8D2BDC21558327CB	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x16 Socket Cap Bolt	MP0370-004	Component	
24FEE125CF0443808A9F2D5FF92F784F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Crystal 16Mhz	MP3187	Component	MHz Band Ceramic Chip Resonators (SMD) PBRC-H / PBRC-M Series
25E3941DBCF5460EB8044C0E4A6B55CF	3	B	DBA5D86402BF43D5976854B8B48FCDD1	New Replicator Interfaceboard - bare board	MP3508-2	Component	
26ABA42FB5614F5D85FE71CC4049E754	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor .1K	MP3154	Component	Resistor SMT 100 ohms
272D01E1DB72482DBDDE21293D13474F	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Motor Wiring Harness 42inch	MP1606	Component	
